2026-07-07T09:55:02.220Z INFO  payment-gateway client=checkout-service req_id=8e21 POST /v1/charge status=200 duration_ms=210 rate_limit_remaining=289
2026-07-07T09:58:10.441Z INFO  payment-gateway client=checkout-service req_id=8e55 POST /v1/charge status=200 duration_ms=198 rate_limit_remaining=284
2026-07-07T10:00:31.556Z INFO  payment-gateway client=checkout-service req_id=8e90 POST /v1/charge status=200 duration_ms=205 rate_limit_remaining=276
2026-07-07T10:03:12.998Z INFO  payment-gateway client=checkout-service req_id=8f47 POST /v1/charge status=200 duration_ms=233 rate_limit_remaining=261
2026-07-07T10:05:40.001Z WARN  payment-gateway client=checkout-service req_id=8fc7 POST /v1/charge status=429 duration_ms=8 rate_limit_remaining=0 msg="rate limit exceeded: 300 req/min"
2026-07-07T10:05:41.100Z WARN  payment-gateway client=checkout-service req_id=8fc7 POST /v1/charge status=429 duration_ms=6 rate_limit_remaining=0 attempt=2 msg="rate limit exceeded: 300 req/min"
2026-07-07T10:06:15.221Z INFO  payment-gateway summary window_min=1 client=checkout-service requests=612 normal_baseline=180 msg="3.4x normal request volume"
2026-07-07T10:07:59.100Z WARN  payment-gateway client=checkout-service req_id=8fe9 POST /v1/charge status=429 duration_ms=7 rate_limit_remaining=0 msg="rate limit exceeded: 300 req/min"
2026-07-07T10:09:12.660Z WARN  payment-gateway client=checkout-service req_id=800e POST /v1/charge status=429 duration_ms=9 rate_limit_remaining=0 msg="rate limit exceeded: 300 req/min"
2026-07-07T10:10:41.330Z WARN  payment-gateway client=checkout-service req_id=8041 POST /v1/charge status=429 duration_ms=6 rate_limit_remaining=0 attempt=2 msg="rate limit exceeded: 300 req/min"
2026-07-07T10:12:20.221Z INFO  payment-gateway summary window_min=1 client=checkout-service requests=598 normal_baseline=180 msg="3.3x normal request volume"
2026-07-07T10:15:02.330Z WARN  payment-gateway client=checkout-service req_id=8098 POST /v1/charge status=429 duration_ms=8 rate_limit_remaining=0 msg="rate limit exceeded: 300 req/min"
2026-07-07T10:19:45.440Z WARN  payment-gateway client=checkout-service req_id=80e1 POST /v1/charge status=429 duration_ms=9 rate_limit_remaining=0 attempt=3 msg="rate limit exceeded: 300 req/min"
2026-07-07T10:20:00.001Z INFO  payment-gateway status_page="all systems operational" note="No incidents on payment-gateway side; elevated 429s are client-driven (checkout-service traffic 3-4x baseline)"
